Player,Cmp %,Rate
Jared Goff,65.1,99.3
Josh Allen,63.3,96.6
Geno Smith,69.8,100.9
Trevor Lawrence,66.3,95.2
Jalen Hurts,66.5,101.6
Aaron Rodgers,64.6,91.1
Tua Tagovailoa,64.8,105.5
Russell Wilson,60.5,84.4
Derek Carr,60.8,86.3
Daniel Jones,67.2,92.5
Davis Mills,61.0,78.8
Matt Ryan,67.0,83.9
Mac Jones,65.2,84.8
Andy Dalton,66.7,95.2
Dak Prescott,66.2,91.1
Jacoby Brissett,64.0,88.9
Ryan Tannehill,65.2,94.6
Jimmy Garoppolo,67.2,103.0
Kenny Pickett,63.0,76.7
Kyler Murray,66.4,87.2
Justin Fields,60.4,85.2
Lamar Jackson,62.3,91.1
Marcus Mariota,61.3,88.2
Baker Mayfield,60.0,79.0
Matthew Stafford,68.0,87.4
Taylor Heinicke,62.2,89.6
Carson Wentz,62.3,80.2
Zach Wilson,54.6,72.8
Brock Purdy,67.1,107.3
Mitchell Trubisky,65.0,81.1
Mike White,58.9,75.7
Sam Darnold,58.6,92.6
Deshaun Watson,58.2,79.1
Joe Flacco,57.6,75.2
Cooper Rush,58.0,80.0
Jameis Winston,63.5,79.6
Bailey Zappe,70.6,100.9
Colt McCoy,68.2,76.6
PJ Walker,59.4,78.0
Desmond Ridder,63.5,86.4
Teddy Bridgewater,62.0,85.6
Gardner Minshew,57.9,83.4
Tyler Huntley,67.0,77.2
Jarrett Stidham,63.9,89.2
Sam Ehlinger,63.4,76.0
Skylar Thompson,57.1,62.2
Brett Rypien,60.2,63.8
Kyle Allen,59.0,60.6
Trace McSorley,54.2,42.8
Joshua Dobbs,58.8,73.8
David Blough,65.5,82.7
John Wolford,61.3,64.6
Anthony Brown,44.9,48.2
Malik Willis,50.8,42.8
Taysom Hill,68.4,146.3
Nick Foles,59.5,34.3
Nick Mullens,84.0,100.7
Jordan Love,66.7,112.2
Trey Lance,48.4,55.0
Trevor Siemian,57.7,76.4
Sam Howell,57.9,83.0
Davis Webb,57.5,75.8
Bryce Perkins,55.9,53.7
Nathan Peterman,56.0,68.6
Jeff Driskel,70.0,99.6
Chris Streveler,66.7,82.6
Jacob Eason,60.0,61.7
Tyrod Taylor,75.0,94.8
Chase Daniel,66.7,103.5
Brian Hoyer,83.3,92.4
